S.No.,Index,⌀ / 2(mm),r.θ(mm)
1,A1,,2.2925196770360845
2,A2,,2.1667682566044917
3,A3,,2.117136939127193
4,A4,,5.0338249689209595
5,A5,,2.023884778712418
6,A6,,3.409822924319956
7,A7,,5.00459754493826
8,A8,,5.8180457540032595
9,A9,,18.29090636883209
10,A10,,2.6121476422559313
11,A11,,2.8177349276977797
12,A12,,2.2381729207684073
13,A13,,16.828565115343032
14,A14,,3.572487368464538
15,A15,,5.6595136883055455
16,A16,,24.997371450404337
17,A17,,4.727660307432267
18,A18,,12.532720894993107
19,A19,,10.277801213990449
